document_type,label_ja,description,sort_order
journal,日誌,日誌・園日誌,1
photo_album,フォトアルバム,フォトアルバム・写真集,2
monthly_announcement,園だより,園だより・クラスだより・月間お知らせ,3
monthly_lunch_schedule,給食献立表,給食献立表・給食スケジュール,4
monthly_lunch_info,給食便り,給食だより・給食情報,5
uncategorized,その他,その他,6
